ChEBI ID,ChEBI Name,SMILES,PubChem SID
190108,8-C-Methylquercetin 3-xyloside,O1[C@@H](OC2=C(OC=3C(C2=O)=C(O)C=C(O)C3C)C4=CC(O)=C(O)C=C4)C(O)C(O)[C@H](O)C1,"SID: 85388919
CID: 44259214"
179455,"3,5,8,3'-Tetramethoxy-6,7:4',5'-bis(methylenedioxy)flavone",O1C2=C(C(OC)=C3OCOC3=C2OC)C(=O)C(OC)=C1C4=CC=5OCOC5C(OC)=C4,"SID: 85378477
CID: 44260080"
184500,"5-Hydroxy-2-(4-{[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}phenyl)-7-[(3,4,5-trihydroxy-6-{[(3,4,5-trihydroxy-6-methyloxan-2-yl)oxy]methyl}oxan-2-yl)oxy]-3,4-dihydro-2H-1-benzopyran-4-one",O1C(C(O)C(O)C(O)C1OC=2C=C3OC(CC(=O)C3=C(O)C2)C4=CC=C(OC5OC(C(O)C(O)C5O)CO)C=C4)COC6OC(C(O)C(O)C6O)C,"SID: 85383424
CID: 14375140"
169620,"({6-[(2-{[2-(3,4-dihydroxyphenyl)-7-hydroxy-5-oxo-5H-chromen-3-yl]oxy}-4,5-dihydroxy-6-(hydroxymethyl)oxan-3-yl)oxy]-3,4,5-trihydroxyoxan-2-yl}methyl)[hydroxy(4-hydroxyphenyl)methylidene]oxidanium",O(C1C(O)C(O)C(OC1OC2=C(OC=3C(=C2)C(O)=CC(=O)C3)C4=CC(O)=C(O)C=C4)CO)C5OC(C(O)C(O)C5O)COC(=[OH+])C6=CC=C(O)C=C6,"CID: 131831708
SID: 85368797"
136619,Kaempferol 3-O-arabinoside,C=1C=C(C=CC1C2=C(C(C3=C(C=C(C=C3O2)O)O)=O)O[C@]4([C@]([C@@]([C@@](CO4)([H])O)([H])O)([H])O)[H])O,"CID: 5481882
SID: 85336353"
173296,Chalconosakuranetin,O1C(C(O)C(O)C(O)C1OC=2C(=C(O)C=C(OC)C2)C(=O)/C=C/C3=CC=C(O)C=C3)CO,"SID: 85372403
CID: 14524443"
197243,"5,7-Dihydroxy-3-methoxy-4'-prenyloxyflavone",O1C(C2=CC=C(OCC=C(C)C)C=C2)=C(OC)C(=O)C=3C1=CC(O)=CC3O,"SID: 85395982
CID: 44259651"
185171,"5-Hydroxy-7,2',3',4',5'-pentamethoxyflavone",O1C(C=2C(OC)=C(OC)C(OC)=C(OC)C2)=CC(=O)C=3C1=CC(OC)=CC3O,"SID: 85384057
CID: 5742693"
179865,"3,4,2',4',6'-Pentahydroxychalcone 4'-glucoside",O1C(C(O)C(O)C(O)C1OC2=CC(O)=C(C(O)=C2)C(=O)/C=C/C3=CC(O)=C(O)C=C3)CO,"SID: 85378884
CID: 42607612"
188163,Apigenin 7-glucuronosyl-(1->2)-glucuronide,O(C1[C@@H](O)[C@H](O)C(O[C@H]1OC=2C=C3OC(=CC(=O)C3=C(O)C2)C4=CC=C(O)C=C4)C(O)=O)[C@@H]5OC([C@@H](O)[C@H](O)C5O)C(O)=O,"SID: 85386999
CID: 44257815"
186359,8-Hydroxyhesperetin,O1[C@@H](CC(=O)C2=C1C(O)=C(O)C=C2O)C3=CC(O)=C(OC)C=C3,"SID: 85385216
CID: 42608121"
184839,Kaempferol 4'-methyl ether 3-(2Glc-glucosylrutinoside),O(C1[C@@H](O)[C@H](O)C(O[C@H]1OC2=C(OC=3C(C2=O)=C(O)C=C(O)C3)C4=CC=C(OC)C=C4)CO[C@@H]5OC([C@H](O)C(O)[C@@H]5O)C)[C@@H]6OC([C@@H](O)[C@H](O)C6O)CO,"SID: 85383738
CID: 44257996"
185458,Kaempferol 3-xylosyl-(1->2)-rhamnoside,O([C@H]1C(O)[C@@H](O)C(O[C@H]1OC2=C(OC=3C(C2=O)=C(O)C=C(O)C3)C4=CC=C(O)C=C4)C)[C@@H]5OC[C@@H](O)C(O)[C@H]5O,"SID: 85384332
CID: 44258927"
189521,Hemiphloin,O1[C@]([C@H](O)[C@@H](O)[C@H](O)[C@H]1CO)(C2=C(O)C3=C(O[C@@H](CC3=O)C4=CC=C(O)C=C4)C=C2O)[H],"CID: 160711
SID: 85388339"
177952,Kaempferol 3-(3Rha-glucosylrutinoside),O([C@@H]1C(O)[C@@H](OC([C@@H]1O)C)OCC2O[C@@H](OC3=C(OC=4C(C3=O)=C(O)C=C(O)C4)C5=CC=C(O)C=C5)C(O)C(O)[C@@H]2O)[C@@H]6OC([C@@H](O)[C@H](O)C6O)CO,"SID: 85376995
CID: 44258818"
189129,Kaempferol-3-O-glucoside-7-O-rhamnoside,O1C(C(O)C(O)C(O)C1OC=2C(=O)C=3C(OC2C4=CC=C(O)C=C4)=CC(OC5OC(C(O)C(O)C5O)C)=CC3O)CO,"CID: 14035324
SID: 85387950"
187512,Vitexin 2''-O-(2'''-methylbutyryl),O1[C@](C(OC(=O)C(CC)C)[C@@H](O)[C@H](O)C1CO)(C=2C=3OC(=CC(=O)C3C(O)=CC2O)C4=CC=C(O)C=C4)[H],"SID: 85386355
CID: 44257732"
136621,Quercetin 3-O-glucosylrutinoside,C1=C(C=C(C2=C1OC(=C(C2=O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO[C@H]4[C@@H]([C@@H]([C@H]([C@@H](O4)C)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)O)O)O)O)O)C6=CC(=C(C=C6)O)O)O)O,"CID: 102332276
SID: 85336355"
169022,3-(3-Methylbutyl)tricetin 5-neohesperidoside,O(C1[C@@H](O)[C@H](O)C(O[C@H]1OC=2C3=C(OC(=C(C3=O)CCC(C)C)C4=CC(O)=C(O)C(O)=C4)C=C(O)C2)CO)[C@@H]5OC([C@H](O)[C@H](O)C5O)C,"CID: 44258245
SID: 85368203"
197252,Syringetin 3-(6'''-acetylglucosyl)(1->3)-galactoside,O(C1[C@@H](O)C(O[C@@H](OC2=C(OC=3C(C2=O)=C(O)C=C(O)C3)C4=CC(OC)=C(O)C(OC)=C4)[C@@H]1O)CO)[C@@H]5OC([C@@H](O)[C@H](O)C5O)COC(=O)C,"SID: 85395991
CID: 44259489"
192882,Scoparin 2''-xyloside,O1C(C(OC2OCC(O)C(O)C2O)C(O)C(O)C1CO)C=3C=4OC(=CC(=O)C4C(O)=CC3O)C5=CC(OC)=C(O)C=C5,"SID: 85391658
CID: 74977686"
169289,Madreselvin B,O1C([C@@H](O)[C@H](O)C(O)[C@@H]1OC2=C(OC=3C(C2=O)=C(O)C=C(O)C3)C4=CC(O)=C(O)C=C4)CO[C@@H]5OC([C@@H](O)[C@H](O)C5O)COC(=O)/C=C/C6=CC(O)=C(O)C=C6,"CID: 44258007
SID: 85368467"
196630,"3',5'-Dihydroxy-3,5,6,7,8,4'-hexamethoxyflavone",O1C2=C(C(OC)=C(OC)C(OC)=C2OC)C(=O)C(OC)=C1C3=CC(O)=C(OC)C(O)=C3,"SID: 85395373
CID: 44260076"
192869,Pinocembrin 5-O-glucoside,O1C(C(O)C(O)C(O)C1OC=2C3=C(OC(CC3=O)C4=CC=CC=C4)C=C(O)C2)CO,"SID: 85391645
CID: 4142221"
191641,"Isovitexin 4',7-diglucoside",O1C(C(O)C(O)C(O)C1CO)C2=C(OC3OC(C(O)C(O)C3O)CO)C=C4OC(=CC(=O)C4=C2O)C5=CC=C(OC6OC(C(O)C(O)C6O)CO)C=C5,"SID: 85390429
CID: 131751646"
172734,"3,3',5,5'-Tetrahydroxy-6,7-methyleneoxy-4'-methoxyflavone 3-glucuronide",O1C(OC2=C(OC=3C(C2=O)=C(O)C=4OCOC4C3)C5=CC(O)=C(OC)C(O)=C5)C(O)C(O)C(O)C1C(O)=O,"SID: 85371847
CID: 131752278"
196633,Isomonospermoside,O1[C@@H]([C@@H](O)[C@@H](O)[C@@H](O)[C@@H]1OC=2C=C(C3OC4=C(C(=O)C3)C=CC(O)=C4)C=CC2O)CO,"SID: 85395376
CID: 42607822"
175799,"4',5-Dihydroxy-3',5',7,8-tetramethoxyflavone",O1C2=C(C(=O)C=C1C3=CC(OC)=C(O)C(OC)=C3)C(O)=CC(OC)=C2OC,"CID: 13871366
SID: 85374871"
169267,"3',4',5-Trihydroxy-3-methoxy-6,7-methylenedioxyflavone 4'-glucuronide",O1C(C(O)C(O)C(O)C1OC2=C(O)C=C(C=C2)C=3OC=4C(C(=O)C3OC)=C(O)C=5OCOC5C4)C(O)=O,"CID: 74978486
SID: 85368445"
168350,"6-{[3-(3,7-dimethylocta-2,6-dien-1-yl)-5-hydroxy-6-(3-methylbut-2-en-1-yl)-4-oxo-2-(2,4,5-trihydroxyphenyl)-4H-chromen-7-yl]oxy}-3,4,5-trihydroxyoxane-2-carboxylic acid",O1C(OC2=C(C(O)=C3C(OC(=C(C3=O)C/C=C(\CCC=C(C)C)/C)C=4C(O)=CC(O)=C(O)C4)=C2)CC=C(C)C)C(O)C(O)C(O)C1C(O)=O,"CID: 131836009
SID: 85367540"
174556,Dihydroformononetin,O1CC(C2=CC=C(OC)C=C2)C(=O)C3=C1C=C(O)C=C3,"SID: 85373652
CID: 14730796"
184679,Artabotryside B,O([C@H]1C(O)[C@@H](O[C@H]1OC2=C(OC=3C(C2=O)=C(O)C=C(O)C3)C4=CC=C(O)C=C4)CO)[C@@H]5OC([C@H](O)C(O)[C@@H]5O)C,"SID: 85383585
CID: 44258976"
168410,"Myricetin 3-(3'',4''-diacetylrhamnoside)",O1C([C@H](OC(=O)C)C(OC(=O)C)[C@H](O)[C@@H]1OC2=C(OC=3C(C2=O)=C(O)C=C(O)C3)C4=CC(O)=C(O)C(O)=C4)C,"CID: 44259471
SID: 85367598"
113530,"(3R)-7,8-dimethoxy-3-(2,3,4-trimethoxyphenyl)-3,4-dihydro-2H-1-benzopyran",COC1=C(C2=C(C[C@@H](CO2)C3=C(C(=C(C=C3)OC)OC)OC)C=C1)OC,"SID: 85318816
CID: 6708574"
179859,8-C-Glucopyranosyleriodictylol,O1[C@]([C@H](O)[C@@H](O)[C@H](O)[C@H]1CO)(C2=C3OC(CC(=O)C3=C(O)C=C2O)C4=CC(O)=C(O)C=C4)[H],"SID: 85378878
CID: 42607963"
187792,Limocitrol 3-[alpha-L-arabinopyranosyl-(1->3)[galactosyl-(1->6)]-galactoside],O1C([C@H](O)[C@H](O[C@@H]2OC[C@H](O)[C@H](O)C2O)C(O)[C@@H]1OC3=C(OC=4C(C3=O)=C(O)C(OC)=C(O)C4OC)C5=CC(OC)=C(O)C=C5)CO[C@@H]6OC([C@H](O)[C@H](O)C6O)CO,"SID: 85386632
CID: 44260058"
219077,Citrifelin B,O1C2=C3C(=C(C)C(=C2)O)[C@@H]([C@@H](C)O[C@@H]3C[C@@H]1C4=CC(OC)=C(O)C=C4)C,
175928,"3'-Hydroxy-4',5,6,7,8-pentamethoxyflavone",O1C2=C(C(OC)=C(OC)C(OC)=C2OC)C(=O)C=C1C3=CC(O)=C(OC)C=C3,"CID: 183466
SID: 85374997"
192924,Alternanthin,O1[C@@](CC(O)[C@H](O)[C@H]1C)(C2=C(O)C3=C(OC(=CC3=O)C4=CC(OC)=C(O)C=C4)C=C2O)[H],"SID: 85391699
CID: 44258156"
186432,"Okanin 3,4-dimethyl ehter 4'-glucoside",O1[C@@H]([C@@H](O)[C@@H](O)[C@@H](O)[C@@H]1OC2=C(O)C(O)=C(C=C2)C(=O)/C=C/C3=CC(OC)=C(OC)C=C3)CO,"SID: 85385289
CID: 42607573"
186774,Isoembigenin,O1[C@](C(O)[C@@H](O)[C@@H](O)C1CO)(C=2C=3OC(=CC(=O)C3C(O)=CC2OC)C4=CC=C(OC)C=C4)[H],"SID: 85385628
CID: 44258361"
169069,"5-Hydroxy-7,4'-dimethoxy-6,8-di-C-prenylflavanone 5-O-galactoside",O1C(C(O)C(O)C(O)C1OC2=C3C(OC(CC3=O)C4=CC=C(OC)C=C4)=C(C(OC)=C2C)C)CO,"CID: 42608074
SID: 85368249"
172773,6''-O-Galloylquercimeritrin,O1C(C(O)C(O)C(O)C1OC=2C=C3OC(=C(O)C(=O)C3=C(O)C2)C4=CC(O)=C(O)C=C4)COC(=O)C5=CC(O)=C(O)C(O)=C5,"SID: 85371885
CID: 74977604"
191433,Quercetin-4'-glucuronide,O1[C@@H]([C@@H](O)[C@H](O)[C@@H](O)[C@@H]1OC2=C(O)C=C(C=C2)C=3OC=4C(C(=O)C3O)=C(O)C=C(O)C4)C(O)=O,"SID: 85390225
CID: 57331045"
177949,Isorhamnetin 3-sambubioside,O(C1C(O)[C@H](O)C(O[C@H]1OC2=C(OC=3C(C2=O)=C(O)C=C(O)C3)C4=CC(OC)=C(O)C=C4)CO)[C@@H]5OC[C@@H](O)C(O)[C@H]5O,"SID: 85376992
CID: 44258011"
196628,"5,7-Dihydroxy-3,6,8,3',4',5'-hexamethoxyflavone",O1C=2C(C(=O)C(OC)=C1C3=CC(OC)=C(OC)C(OC)=C3)=C(O)C(OC)=C(O)C2OC,"SID: 85395371
CID: 5386963"
191435,Catechin 7-glucoside,O1C(C(O)C(O)C(O)C1OC=2C=C3OC(C(O)CC3=C(O)C2)C4=CC(O)=C(O)C=C4)CO,"SID: 85390227
CID: 14282767"
188116,Licorice glycoside E,O(C1[C@@H](O)[C@H](O)C(O[C@H]1OC2=CC=C([C@H]3OC4=C(C(=O)C3)C=CC(O)=C4)C=C2)CO)[C@@H]5OCC(O)([C@@H]5O)COC(=O)C=6C=7C(NC6)=CC=CC7,"SID: 85386952
CID: 42607811"
192864,Quercetin 3-(6''''-caffeylsophorotrioside),O([C@@H]1OC([C@H](O)C(O)C1O[C@@H]2OC([C@@H](O)C(O)[C@H]2O)COC(=O)/C=C/C3=CC(O)=C(O)C=C3)CO)C4[C@@H](O)[C@H](O)C(O[C@H]4OC5=C(OC=6C(C5=O)=C(O)C=C(O)C6)C7=CC(O)=C(O)C=C7)CO,"SID: 85391640
CID: 44259200"
181687,Epicatechin 8-C-beta-D-glucopyranoside,O1[C@]([C@H](O)C(O)[C@H](O)[C@H]1CO)(C=2C=3O[C@@H]([C@H](O)CC3C(O)=CC2O)C4=CC(O)=C(O)C=C4)[H],"CID: 134780089
SID: 85380688"
192895,Tagetiin,O1[C@@H]([C@@H](O)[C@H](O)[C@@H](O)[C@@H]1OC2=C(OC3=C(C2=O)C(O)=C(O)C(O)=C3)C4=CC(O)=C(O)C=C4)CO,"SID: 85391671
CID: 11968966"
175930,Artemetin,O1C=2C(C(=O)C(OC)=C1C3=CC(OC)=C(OC)C=C3)=C(O)C(OC)=C(OC)C2,"CID: 5320351
SID: 85374999"
139408,4-[7-(hexopyranosyloxy)-5-hydroxy-4-oxo-4H-1-benzopyran-2-yl]phenyl 6-deoxyhexopyranoside,C1(C)C(O)C(C(C(O1)OC2=CC=C(C3=CC(C4=C(C=C(OC5C(C(C(C(CO)O5)O)O)O)C=C4O3)O)=O)C=C2)O)O,"SID: 85339095
CID: 24177538"
187745,"Luteolin 4'-methyl ether 7,3'-disulfate",S(OC=1C=C2OC(C3=CC(OS(O)(=O)=O)=C(OC)C=C3)=CC(=O)C2=C(O)C1)(O)(=O)=O,"SID: 85386585
CID: 44258236"
186885,"3,4,5-trihydroxy-6-{4-hydroxy-3-[3-(2-hydroxyphenyl)propanoyl]phenoxy}oxane-2-carboxylic acid",O1C(C(O)C(O)C(O)C1OC2=CC(C(=O)CCC=3C(O)=CC=CC3)=C(O)C=C2)C(O)=O,"SID: 85385739
CID: 131838980"
185246,Hexaacetylpyracanthoside,O1C([C@@H](OC(=O)C)[C@H](OC(=O)C)C(OC(=O)C)[C@@H]1OC=2C=C3OC(CC(=O)C3=C(O)C2)C4=CC(OC(=O)C)=C(OC(=O)C)C=C4)COC(=O)C,"SID: 85384132
CID: 42607974"
186650,"[2-methoxy-4-(3,5,7-trihydroxy-4-oxo-3,4-dihydro-2H-1-benzopyran-2-yl)phenyl]oxidanesulfonic acid",S(OC1=C(OC)C=C(C2OC=3C(C(=O)C2O)=C(O)C=C(O)C3)C=C1)(O)(=O)=O,"SID: 85385504
CID: 131832977"
186383,"2-[3,5-Dimethoxy-4-[(3-methyl-2-butenyl)oxy]phenyl]-5,6,7-trimethoxy-4H-1-benzopyran-4-one",O1C=2C(=C(OC)C(OC)=C(OC)C2)C(=O)C=C1C3=CC(OC)=C(OCC=C(C)C)C(OC)=C3,"SID: 85385240
CID: 44258533"
92455,"5-hydroxy-2-(4-methoxyphenyl)-7-[[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-[[(2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyl-2-oxanyl]oxymethyl]-2-oxanyl]oxy]-1-benzopyran-4-one",C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@H](O2)OC3=CC(=C4C(=C3)OC(=CC4=O)C5=CC=C(C=C5)OC)O)O)O)O)O)O)O,"CID: 6708769
SID: 329738695"
197150,"Afzelechin 5,4'-dimethyl ether",O1[C@@H]([C@@H](O)CC2=C1C=C(O)C=C2OC)C3=CC=C(OC)C=C3,"SID: 85395891
CID: 44257123"
196401,Benthamitin,O1C=2C(=C(OC)C(OC)=C(OC)C2)C(=O)C(OC)=C1C=3C(OC)=CC(OC)=C(OC)C3,"SID: 85395146
CID: 44259900"
180419,"5,7,3',6'-Tetrahydroxy-6,8,2'-trimethoxyflavone",O1C=2C(=C(O)C(OC)=C(O)C2OC)C(=O)C=C1C=3C(OC)=C(O)C=CC3O,"CID: 44258628
SID: 85379432"
185101,Chalconaringenin 2'-xyloside,O1[C@@H](OC=2C(=C(O)C=C(O)C2)C(=O)/C=C/C3=CC=C(O)C=C3)C(O)[C@@H](O)[C@H](O)C1,"SID: 85383989
CID: 42607603"
168908,"6-{3,5-dihydroxy-2-[3-(3,4,5-trimethoxyphenyl)propanoyl]phenoxy}-3,4,5-trihydroxyoxane-2-carboxylic acid",O1C(C(O)C(O)C(O)C1OC=2C(C(=O)CCC3=CC(OC)=C(OC)C(OC)=C3)=C(O)C=C(O)C2)C(O)=O,"SID: 85368092
CID: 131831464"
185242,"Quercetagetin 3,5,6,3'-tetramethyl ether",O1C2=C(C(OC)=C(OC)C(O)=C2)C(=O)C(OC)=C1C3=CC(OC)=C(O)C=C3,"SID: 85384128
CID: 44259870"
188308,Quercetin 3-glucuronide-3'-sulfate,S(OC=1C=C(C=2OC=3C(C(=O)C2O[C@@H]4O[C@@H]([C@@H](O)C(O)C4O)C(O)=O)=C(O)C=C(O)C3)C=CC1O)(O)(=O)=O,"SID: 85387141
CID: 44259321"
182556,"5,7,3',4'-Tetrahydroxy-6,8-dimethoxyflavone",O1C=2C(=C(O)C(OC)=C(O)C2OC)C(=O)C=C1C3=CC(O)=C(O)C=C3,"SID: 85381535
CID: 5321859"
185050,Hispidulin 7-rhamnoside,O1C([C@H](O)C(O)[C@H](O)[C@@H]1OC2=C(OC)C(O)=C3C(OC(=CC3=O)C4=CC=C(O)C=C4)=C2)C,"SID: 85383940
CID: 44258464"
185977,Epicatechin 3-O-(3-trans-cinnamoyl-beta-D-allopyranoside),O1[C@@H](O[C@H]2[C@H](OC=3C(C2)=C(O)C=C(O)C3)C4=CC(O)=C(O)C=C4)C(O)C(OC(=O)/C=C/C5=CC=CC=C5)[C@H](O)[C@H]1CO,"SID: 85384838
CID: 44257075"
189462,Isorhamnetin-3-O-nehesperidine,O([C@@H]1[C@@H](O)[C@H](O)[C@H](O[C@H]1OC2=C(OC=3C(C2=O)=C(O)C=C(O)C3)C4=CC(OC)=C(O)C=C4)CO)[C@@H]5O[C@H]([C@H](O)[C@@H](O)[C@H]5O)C,"CID: 11664505
SID: 85388280"
189450,4'-O-Glucosylvitexin,O1[C@]([C@H](O)[C@@H](O)[C@H](O)[C@H]1CO)(C=2C=3OC(=CC(=O)C3C(O)=CC2O)C4=CC=C(O[C@@H]5O[C@@H]([C@@H](O)[C@H](O)[C@H]5O)CO)C=C4)[H],"CID: 15596617
SID: 85388268"
186819,Amurensin,O1[C@@H]([C@@H](O)[C@H](O)[C@@H](O)[C@@H]1OC2=C(CCC(O)(C)C)C=3OC(=C(O)C(=O)C3C(O)=C2)C4=CC=C(O)C=C4)CO,"SID: 85385673
CID: 5318156"
184161,"6-[3,5-dihydroxy-2-(3-phenylpropanoyl)phenoxy]-3,4,5-trihydroxyoxane-2-carboxylic acid",O1C(OC=2C(C(=O)CCC3=CC=CC=C3)=C(O)C=C(O)C2)C(O)C(O)C(O)C1C(O)=O,"SID: 85383107
CID: 131834457"
169021,"Kaempferol 7,4'-dimethyl ether 3-O-sulfate",S(OC1=C(OC=2C(C1=O)=C(O)C=C(OC)C2)C3=CC=C(OC)C=C3)(O)(=O)=O,"CID: 44259575
SID: 85368202"
175238,"3,3',5-Trihydroxy-4',7-dimethoxyflavanone",O1C(C(O)C(=O)C=2C1=CC(OC)=CC2O)C3=CC(O)=C(OC)C=C3,"CID: 11256019
SID: 85374317"
191607,(-)-Epicatechin 6-C-glucoside,O1C([C@H](O)[C@@H](O)[C@H](O)[C@H]1CO)C2=C(O)C=3C[C@@H](O)[C@H](OC3C=C2O)C4=CC(O)=C(O)C=C4,"SID: 85390395
CID: 131752183"
191471,Maysin 3'-methyl ether,O(C1C(OC(C(=O)C1O)C)C2=C(O)C3=C(OC(=CC3=O)C4=CC(OC)=C(O)C=C4)C=C2O)C5OC(C(O)C(O)C5O)C,"SID: 85390263
CID: 74977693"
176089,6-C-Fucosylluteolin,O1C(C(O)C(O)C(O)C1C)C2=C(O)C3=C(OC(=CC3=O)C4=CC(O)=C(O)C=C4)C=C2O,"CID: 74977561
SID: 85375153"
187983,Cerarvensin,O1[C@](C(O)[C@@H](O)[C@H](O)C1)(C2=C(O)C3=C(OC(=CC3=O)C4=CC=C(O)C=C4)C=C2O)[H],"SID: 459095043
CID: 44257651"
139428,"8-[6-(3-{[6-O-(6-deoxy-alpha-L-mannopyranosyl)-beta-D-glucopyranosyl]oxy}-5,7-dihydroxy-4-oxo-4H-1-benzopyran-2-yl)-2,3-dihydroxyphenyl]-2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-4-oxo-4H-1-benzopyran-3-yl 6-O-(6-deoxy-alpha-L-mannopyranosyl)-beta-D-glucopyranoside",C1(=C(C=CC(=C1O)O)C=2OC3=C(C(C2O[C@@H]4O[C@@H]([C@H]([C@@H]([C@H]4O)O)O)CO[C@@H]5O[C@H]([C@@H]([C@H]([C@H]5O)O)O)C)=O)C(=CC(=C3)O)O)C=6C=7OC(C8=CC(=C(C=C8)O)O)=C(C(C7C(=CC6O)O)=O)O[C@@H]9O[C@@H]([C@H]([C@@H]([C@H]9O)O)O)CO[C@@H]%10O[C@H]([C@@H]([C@H]([C@H]%10O)O)O)C,"SID: 85339115
CID: 51136405"
186202,"8-Prenylquercetin 7,4'-dimethyl ether 3-rhamnosyl-(1->4)-rhamnoside",O([C@@H]1C(O)[C@H](O)[C@@H](OC1C)OC2=C(OC3=C(C2=O)C(O)=CC(OC)=C3CC=C(C)C)C4=CC(O)=C(OC)C=C4)[C@@H]5OC([C@H](O)C(O)[C@@H]5O)C,"SID: 85385061
CID: 44259620"
185213,"3',5,6-Trihydroxy-3,4',7,8-tetramethoxyflavone 3-glucoside",O1C(C(O)C(O)C(O)C1OC2=C(OC3=C(C2=O)C(OC)=C(OC)C(O)=C3OC)C4=CC(OC)=C(O)C=C4)CO,"SID: 85384099
CID: 14375127"
175965,"4',5-Dihydroxy-3,3'-dimethoxy-6,7-methylenedioxyflavone 4'-glucuronide",O1C(C(O)C(O)C(O)C1OC2=C(OC)C=C(C=C2)C=3OC=4C(C(=O)C3OC)=C(O)C=5OCOC5C4)C(O)=O,"CID: 73829990
SID: 85375033"
196370,Agecorynin D,O1C=2C(=C(O)C(OC)=C(OC)C2OC)C(=O)C=C1C=3C(O)=CC(O)=C(OC)C3,"SID: 85395115
CID: 14162688"
184843,"(2S)-5,6,7-Trihydroxyflavanone 7-glucoside",O1C([C@@H](O)[C@H](O)C(O)[C@@H]1OC=2C=C3O[C@@H](CC(=O)C3=C(O)C2O)C4=CC=CC=C4)CO,"SID: 85383742
CID: 42608093"
143040,Apigenin 7-[rhamnosyl-(1->2)-galacturonide],O(C1C(O)C(O)C(OC1OC=2C=C3OC(=CC(=O)C3=C(O)C2)C4=CC=C(O)C=C4)C(O)=O)C5OC(C(O)C(O)C5O)C,"SID: 85342687
CID: 14309754"
186553,Noranhydroicaritin 3-rhamnosyl-(1->2)-rhamnoside,O([C@H]1C(O)[C@@H](O)C(O[C@H]1OC2=C(OC=3C(C2=O)=C(O)C=C(O)C3CC=C(C)C)C4=CC=C(O)C=C4)C)[C@@H]5OC([C@H](O)C(O)[C@@H]5O)C,"SID: 85385408
CID: 44258786"
