ChEBI_ID,ChEBI_Name,SMILES,PubChemSID,PubChemCID
188116,Licorice glycoside E,O(C1[C@@H](O)[C@H](O)C(O[C@H]1OC2=CC=C([C@H]3OC4=C(C(=O)C3)C=CC(O)=C4)C=C2)CO)[C@@H]5OCC(O)([C@@H]5O)COC(=O)C=6C=7C(NC6)=CC=CC7,85386952,42607811
192864,Quercetin 3-(6''''-caffeylsophorotrioside),O([C@@H]1OC([C@H](O)C(O)C1O[C@@H]2OC([C@@H](O)C(O)[C@H]2O)COC(=O)/C=C/C3=CC(O)=C(O)C=C3)CO)C4[C@@H](O)[C@H](O)C(O[C@H]4OC5=C(OC=6C(C5=O)=C(O)C=C(O)C6)C7=CC(O)=C(O)C=C7)CO,85391640,44259200
181687,Epicatechin 8-C-beta-D-glucopyranoside,O1[C@]([C@H](O)C(O)[C@H](O)[C@H]1CO)(C=2C=3O[C@@H]([C@H](O)CC3C(O)=CC2O)C4=CC(O)=C(O)C=C4)[H],85380688,134780089
192895,Tagetiin,O1[C@@H]([C@@H](O)[C@H](O)[C@@H](O)[C@@H]1OC2=C(OC3=C(C2=O)C(O)=C(O)C(O)=C3)C4=CC(O)=C(O)C=C4)CO,85391671,11968966
175930,Artemetin,O1C=2C(C(=O)C(OC)=C1C3=CC(OC)=C(OC)C=C3)=C(O)C(OC)=C(OC)C2,85374999,5320351
139408,4-[7-(hexopyranosyloxy)-5-hydroxy-4-oxo-4H-1-benzopyran-2-yl]phenyl 6-deoxyhexopyranoside,C1(C)C(O)C(C(C(O1)OC2=CC=C(C3=CC(C4=C(C=C(OC5C(C(C(C(CO)O5)O)O)O)C=C4O3)O)=O)C=C2)O)O,85339095,24177538
187745,"Luteolin 4'-methyl ether 7,3'-disulfate",S(OC=1C=C2OC(C3=CC(OS(O)(=O)=O)=C(OC)C=C3)=CC(=O)C2=C(O)C1)(O)(=O)=O,85386585,44258236
186885,"3,4,5-trihydroxy-6-{4-hydroxy-3-[3-(2-hydroxyphenyl)propanoyl]phenoxy}oxane-2-carboxylic acid",O1C(C(O)C(O)C(O)C1OC2=CC(C(=O)CCC=3C(O)=CC=CC3)=C(O)C=C2)C(O)=O,85385739,131838980
185246,Hexaacetylpyracanthoside,O1C([C@@H](OC(=O)C)[C@H](OC(=O)C)C(OC(=O)C)[C@@H]1OC=2C=C3OC(CC(=O)C3=C(O)C2)C4=CC(OC(=O)C)=C(OC(=O)C)C=C4)COC(=O)C,85384132,42607974
186650,"[2-methoxy-4-(3,5,7-trihydroxy-4-oxo-3,4-dihydro-2H-1-benzopyran-2-yl)phenyl]oxidanesulfonic acid",S(OC1=C(OC)C=C(C2OC=3C(C(=O)C2O)=C(O)C=C(O)C3)C=C1)(O)(=O)=O,85385504,131832977
186383,"2-[3,5-Dimethoxy-4-[(3-methyl-2-butenyl)oxy]phenyl]-5,6,7-trimethoxy-4H-1-benzopyran-4-one",O1C=2C(=C(OC)C(OC)=C(OC)C2)C(=O)C=C1C3=CC(OC)=C(OCC=C(C)C)C(OC)=C3,85385240,44258533
92455,"5-hydroxy-2-(4-methoxyphenyl)-7-[[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-[[(2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyl-2-oxanyl]oxymethyl]-2-oxanyl]oxy]-1-benzopyran-4-one",C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@H](O2)OC3=CC(=C4C(=C3)OC(=CC4=O)C5=CC=C(C=C5)OC)O)O)O)O)O)O)O,329738695,6708769
197150,"Afzelechin 5,4'-dimethyl ether",O1[C@@H]([C@@H](O)CC2=C1C=C(O)C=C2OC)C3=CC=C(OC)C=C3,85395891,44257123
196401,Benthamitin,O1C=2C(=C(OC)C(OC)=C(OC)C2)C(=O)C(OC)=C1C=3C(OC)=CC(OC)=C(OC)C3,85395146,44259900
180419,"5,7,3',6'-Tetrahydroxy-6,8,2'-trimethoxyflavone",O1C=2C(=C(O)C(OC)=C(O)C2OC)C(=O)C=C1C=3C(OC)=C(O)C=CC3O,85379432,44258628
185101,Chalconaringenin 2'-xyloside,O1[C@@H](OC=2C(=C(O)C=C(O)C2)C(=O)/C=C/C3=CC=C(O)C=C3)C(O)[C@@H](O)[C@H](O)C1,85383989,42607603
168908,"6-{3,5-dihydroxy-2-[3-(3,4,5-trimethoxyphenyl)propanoyl]phenoxy}-3,4,5-trihydroxyoxane-2-carboxylic acid",O1C(C(O)C(O)C(O)C1OC=2C(C(=O)CCC3=CC(OC)=C(OC)C(OC)=C3)=C(O)C=C(O)C2)C(O)=O,85368092,131831464
185242,"Quercetagetin 3,5,6,3'-tetramethyl ether",O1C2=C(C(OC)=C(OC)C(O)=C2)C(=O)C(OC)=C1C3=CC(OC)=C(O)C=C3,85384128,44259870
188308,Quercetin 3-glucuronide-3'-sulfate,S(OC=1C=C(C=2OC=3C(C(=O)C2O[C@@H]4O[C@@H]([C@@H](O)C(O)C4O)C(O)=O)=C(O)C=C(O)C3)C=CC1O)(O)(=O)=O,85387141,44259321
182556,"5,7,3',4'-Tetrahydroxy-6,8-dimethoxyflavone",O1C=2C(=C(O)C(OC)=C(O)C2OC)C(=O)C=C1C3=CC(O)=C(O)C=C3,85381535,5321859
185050,Hispidulin 7-rhamnoside,O1C([C@H](O)C(O)[C@H](O)[C@@H]1OC2=C(OC)C(O)=C3C(OC(=CC3=O)C4=CC=C(O)C=C4)=C2)C,85383940,44258464
185977,Epicatechin 3-O-(3-trans-cinnamoyl-beta-D-allopyranoside),O1[C@@H](O[C@H]2[C@H](OC=3C(C2)=C(O)C=C(O)C3)C4=CC(O)=C(O)C=C4)C(O)C(OC(=O)/C=C/C5=CC=CC=C5)[C@H](O)[C@H]1CO,85384838,44257075
189462,Isorhamnetin-3-O-nehesperidine,O([C@@H]1[C@@H](O)[C@H](O)[C@H](O[C@H]1OC2=C(OC=3C(C2=O)=C(O)C=C(O)C3)C4=CC(OC)=C(O)C=C4)CO)[C@@H]5O[C@H]([C@H](O)[C@@H](O)[C@H]5O)C,85388280,11664505
189450,4'-O-Glucosylvitexin,O1[C@]([C@H](O)[C@@H](O)[C@H](O)[C@H]1CO)(C=2C=3OC(=CC(=O)C3C(O)=CC2O)C4=CC=C(O[C@@H]5O[C@@H]([C@@H](O)[C@H](O)[C@H]5O)CO)C=C4)[H],85388268,15596617
186819,Amurensin,O1[C@@H]([C@@H](O)[C@H](O)[C@@H](O)[C@@H]1OC2=C(CCC(O)(C)C)C=3OC(=C(O)C(=O)C3C(O)=C2)C4=CC=C(O)C=C4)CO,85385673,5318156
184161,"6-[3,5-dihydroxy-2-(3-phenylpropanoyl)phenoxy]-3,4,5-trihydroxyoxane-2-carboxylic acid",O1C(OC=2C(C(=O)CCC3=CC=CC=C3)=C(O)C=C(O)C2)C(O)C(O)C(O)C1C(O)=O,85383107,131834457
169021,"Kaempferol 7,4'-dimethyl ether 3-O-sulfate",S(OC1=C(OC=2C(C1=O)=C(O)C=C(OC)C2)C3=CC=C(OC)C=C3)(O)(=O)=O,85368202,44259575
175238,"3,3',5-Trihydroxy-4',7-dimethoxyflavanone",O1C(C(O)C(=O)C=2C1=CC(OC)=CC2O)C3=CC(O)=C(OC)C=C3,85374317,11256019
191607,(-)-Epicatechin 6-C-glucoside,O1C([C@H](O)[C@@H](O)[C@H](O)[C@H]1CO)C2=C(O)C=3C[C@@H](O)[C@H](OC3C=C2O)C4=CC(O)=C(O)C=C4,85390395,131752183
191471,Maysin 3'-methyl ether,O(C1C(OC(C(=O)C1O)C)C2=C(O)C3=C(OC(=CC3=O)C4=CC(OC)=C(O)C=C4)C=C2O)C5OC(C(O)C(O)C5O)C,85390263,74977693
176089,6-C-Fucosylluteolin,O1C(C(O)C(O)C(O)C1C)C2=C(O)C3=C(OC(=CC3=O)C4=CC(O)=C(O)C=C4)C=C2O,85375153,74977561
187983,Cerarvensin,O1[C@](C(O)[C@@H](O)[C@H](O)C1)(C2=C(O)C3=C(OC(=CC3=O)C4=CC=C(O)C=C4)C=C2O)[H],459095043,44257651
139428,"8-[6-(3-{[6-O-(6-deoxy-alpha-L-mannopyranosyl)-beta-D-glucopyranosyl]oxy}-5,7-dihydroxy-4-oxo-4H-1-benzopyran-2-yl)-2,3-dihydroxyphenyl]-2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-4-oxo-4H-1-benzopyran-3-yl 6-O-(6-deoxy-alpha-L-mannopyranosyl)-beta-D-glucopyranoside",C1(=C(C=CC(=C1O)O)C=2OC3=C(C(C2O[C@@H]4O[C@@H]([C@H]([C@@H]([C@H]4O)O)O)CO[C@@H]5O[C@H]([C@@H]([C@H]([C@H]5O)O)O)C)=O)C(=CC(=C3)O)O)C=6C=7OC(C8=CC(=C(C=C8)O)O)=C(C(C7C(=CC6O)O)=O)O[C@@H]9O[C@@H]([C@H]([C@@H]([C@H]9O)O)O)CO[C@@H]%10O[C@H]([C@@H]([C@H]([C@H]%10O)O)O)C,85339115,51136405
186202,"8-Prenylquercetin 7,4'-dimethyl ether 3-rhamnosyl-(1->4)-rhamnoside",O([C@@H]1C(O)[C@H](O)[C@@H](OC1C)OC2=C(OC3=C(C2=O)C(O)=CC(OC)=C3CC=C(C)C)C4=CC(O)=C(OC)C=C4)[C@@H]5OC([C@H](O)C(O)[C@@H]5O)C,85385061,44259620
185213,"3',5,6-Trihydroxy-3,4',7,8-tetramethoxyflavone 3-glucoside",O1C(C(O)C(O)C(O)C1OC2=C(OC3=C(C2=O)C(OC)=C(OC)C(O)=C3OC)C4=CC(OC)=C(O)C=C4)CO,85384099,14375127
175965,"4',5-Dihydroxy-3,3'-dimethoxy-6,7-methylenedioxyflavone 4'-glucuronide",O1C(C(O)C(O)C(O)C1OC2=C(OC)C=C(C=C2)C=3OC=4C(C(=O)C3OC)=C(O)C=5OCOC5C4)C(O)=O,85375033,73829990
196370,Agecorynin D,O1C=2C(=C(O)C(OC)=C(OC)C2OC)C(=O)C=C1C=3C(O)=CC(O)=C(OC)C3,85395115,14162688
184843,"(2S)-5,6,7-Trihydroxyflavanone 7-glucoside",O1C([C@@H](O)[C@H](O)C(O)[C@@H]1OC=2C=C3O[C@@H](CC(=O)C3=C(O)C2O)C4=CC=CC=C4)CO,85383742,42608093
143040,Apigenin 7-[rhamnosyl-(1->2)-galacturonide],O(C1C(O)C(O)C(OC1OC=2C=C3OC(=CC(=O)C3=C(O)C2)C4=CC=C(O)C=C4)C(O)=O)C5OC(C(O)C(O)C5O)C,85342687,14309754
186553,Noranhydroicaritin 3-rhamnosyl-(1->2)-rhamnoside,O([C@H]1C(O)[C@@H](O)C(O[C@H]1OC2=C(OC=3C(C2=O)=C(O)C=C(O)C3CC=C(C)C)C4=CC=C(O)C=C4)C)[C@@H]5OC([C@H](O)C(O)[C@@H]5O)C,85385408,44258786
192389,Quercetin 7-glucuronoside 3-sophoroside,O(C1C(O)C(O)C(OC1OC2=C(OC=3C(C2=O)=C(O)C=C(OC4OC(C(O)C(O)C4O)C(O)=O)C3)C5=CC(O)=C(O)C=C5)CO)C6OC(C(O)C(O)C6O)CO,85391173,74978169
178237,"5,7-Dihydroxy-3-methoxy-2-[3-methoxy-4-[(3-methyl-2-butenyl)oxy]phenyl]-4H-1-benzopyran-4-one",O1C(C2=CC(OC)=C(OCC=C(C)C)C=C2)=C(OC)C(=O)C=3C1=CC(O)=CC3O,85377276,44259691
176127,Terniflorin,O1C(C(O)C(O)C(O)C1OC=2C=C3OC(=CC(=O)C3=C(O)C2)C4=CC=C(O)C=C4)COC(=O)/C=C/C5=CC=C(O)C=C5,85375191,131752172
191482,Isorhamnetin 3-O-[b-D-glucopyranosyl-(1->2)-a-L-rhamnopyranoside],O(C1C(O)C(O)C(OC1OC2=C(OC=3C(C2=O)=C(O)C=C(O)C3)C4=CC(OC)=C(O)C=C4)C)C5OC(C(O)C(O)C5O)CO,85390274,14238622
175322,Zapotin,O1C2=C(C(OC)=C(OC)C=C2)C(=O)C=C1C3=C(OC)C=CC=C3OC,85374401,629965
177076,Kaempferol-3-Rhamnoside-4''-Rhamnoside-7-Rhamnoside,O(C1C(O)C(O)C(OC1C)OC2=C(OC=3C(C2=O)=C(O)C=C(OC4OC(C(O)C(O)C4O)C)C3)C5=CC=C(O)C=C5)C6OC(C(O)C(O)C6O)C,85376133,14630617
197059,Rhamnocitrin 3-rutinoside,O1C([C@@H](O)C(O)C(O)[C@@H]1OC2=C(OC=3C(C2=O)=C(O)C=C(OC)C3)C4=CC=C(O)C=C4)CO[C@@H]5OC([C@H](O)[C@H](O)C5O)C,85395800,44259547
